Algoritmo,Execuções,Tempo médio (s),Desvio padrão (s),IC 95% inferior (s),IC 95% superior (s),Grafo usado,Complexidade teórica
BFS,30,2.1277833002386615e-05,2.072147270868095e-06,2.053632462460483e-05,2.20193413801684e-05,Grafo direcionado tratado,O(V + E)
DFS,30,2.589859965761813e-05,5.92312861742452e-06,2.3779035303169836e-05,2.8018164012066422e-05,Grafo direcionado tratado,O(V + E)
Eulerianidade direcionada,30,0.0007478139343826721,0.0001085874101552944,0.0007089564287006335,0.0007866714400647107,Grafo direcionado tratado,O(V + E)
Eulerianidade não direcionada,30,9.801393340846213e-05,8.391024142330443e-06,9.501124398228991e-05,0.00010101662283463435,Grafo não direcionado tratado,O(V + E)
Dijkstra,30,8.350546728858414e-05,1.320607165801349e-05,7.877973523774335e-05,8.823119933942492e-05,Grafo direcionado ponderado,O((V + E) log V)
Bellman-Ford,30,0.0005461817995334665,7.208714610753151e-05,0.0005203857455943462,0.0005719778534725869,Grafo direcionado ponderado,O(VE)
Floyd-Warshall,10,0.1806339497998124,0.0030085757601585822,0.1784818938765775,0.1827860057230473,Maior componente conexa não direcionada,O(V³)
Tarjan,30,0.000421530600093926,8.928370144670319e-05,0.00038958083785798085,0.0004534803623298711,Grafo direcionado tratado,O(V + E)
Kruskal,30,9.100136643003983e-05,6.186332957777877e-06,8.878761561202093e-05,9.321511724805872e-05,Maior componente conexa não direcionada,O(E log E)
Prim,30,8.809590023399021e-05,2.3249200463620967e-05,7.977628069590549e-05,9.641551977207493e-05,Maior componente conexa não direcionada,O(E log V)
